,cause,avoidable,men,women,people,Males,Females,Persons,Males.1,Females.1,Persons.1,header
808,Other diseases of upper respiratory tract (J39),,10,6,16,,,,101.0,,112.0,False
810,"Bronchitis, not specified as acute or chronic (J40)",x,7,15,22,,,0.1,,,,False
811,Simple and mucopurulent chronic bronchitis (J41),x,0,0,0,,,,,,,False
812,Unspecified chronic bronchitis (J42),x,9,10,19,,,,,105.0,145.0,False
813,Emphysema (J43),x,396,233,629,2.8,1.4,2.0,2067.0,968.0,3015.0,False
814,Other chronic obstructive pulmonary disease (J44),x,3371,3072,6443,24.3,17.6,20.5,11243.0,9469.0,20672.0,False
815,Asthma (J45),x,134,246,380,1.0,1.4,1.2,2012.0,1409.0,3426.0,False
816,Status asthmaticus (J46),x,5,4,9,,,,216.0,,449.0,False
817,Bronchiectasis (J47),,128,259,387,0.9,1.4,1.2,477.0,530.0,1009.0,False
819,Coalworker's pneumoconiosis (J60),,3,0,3,,,,,,,False
820,Pneumoconiosis due to asbestos and other mineral fibres (J61),,127,5,132,0.9,,0.4,169.0,,166.0,False
821,Pneumoconiosis due to dust containing silica (J62),,1,0,1,,,,,,,False
822,Pneumoconiosis due to other inorganic dusts (J63),,0,0,0,,,,,,,False
823,Unspecified pneumoconiosis (J64),,2,0,2,,,,,,,False
824,Pneumoconiosis associated with tuberculosis (J65),,0,0,0,,,,,,,False
825,Airway disease due to specific organic dust (J66),,0,0,0,,,,,,,False
826,Hypersensitivity pneumonitis due to organic dust (J67),,8,10,18,,,,,33.0,71.0,False
827,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours (J68)",,1,1,2,,,,,,,False
828,Pneumonitis due to solids and liquids (J69),,498,454,952,3.6,2.3,2.8,838.0,451.0,1283.0,False
829,Respiratory conditions due to other external agents (J70),,7,8,15,,,,,,53.0,False
831,Adult respiratory distress syndrome (J80),,9,8,17,,,,162.0,115.0,277.0,False
832,Pulmonary oedema (J81),,17,28,45,,0.1,0.1,,,28.0,False
833,"Pulmonary eosinophilia, not elsewhere classified (J82)",,3,3,6,,,,,,105.0,False
834,Other interstitial pulmonary diseases (J84),,821,476,1297,6.0,2.7,4.2,2248.0,1293.0,3518.0,False
836,Abscess of lung and mediastinum (J85),,9,4,13,,,,100.0,,136.0,False
837,Pyothorax (J86),,21,9,30,0.2,,0.1,183.0,95.0,277.0,False
839,"Pleural effusion, not elsewhere classified (J90)",,30,31,61,0.2,0.2,0.2,35.0,98.0,134.0,False
840,Pleural plaque (J92),,1,0,1,,,,,,,False
841,Pneumothorax (J93),,9,5,14,,,,146.0,,165.0,False
842,Other pleural conditions (J94),,12,3,15,,,,138.0,,138.0,False
844,"Postprocedural respiratory disorders, not elsewhere classified (J95)",,0,0,0,,,,,,,False
845,"Respiratory failure, not elsewhere classified (J96)",,27,43,70,0.2,0.2,0.2,82.0,110.0,193.0,False
846,Other respiratory disorders (J98),,201,221,422,1.5,1.2,1.3,951.0,678.0,1621.0,False
849,Disorders of tooth development and eruption (K00),,0,0,0,,,,,,,False
850,Embedded and impacted teeth (K01),,0,0,0,,,,,,,False
851,Dental caries (K02),,1,0,1,,,,,,,False
852,Other diseases of hard tissues of teeth (K03),,1,0,1,,,,,,,False
853,Diseases of pulp and periapical tissues (K04),,2,3,5,,,,,,,False
854,Gingivitis and periodontal diseases (K05),,0,0,0,,,,,,,False
855,Other disorders of gingiva and edentulous alveolar ridge (K06),,0,0,0,,,,,,,False
856,Dentofacial anomalies [including malocclusion] (K07),,0,0,0,,,,,,,False
857,Other disorders of teeth and supporting structures (K08),,1,0,1,,,,,,,False
858,"Cysts of oral region, not elsewhere classified (K09)",,1,0,1,,,,,,,False
859,Other diseases of jaws (K10),,0,0,0,,,,,,,False
860,Diseases of salivary glands (K11),,8,8,16,,,,,,,False
861,Stomatitis and related lesions (K12),,3,5,8,,,,,,,False
862,Other diseases of lip and oral mucosa (K13),,0,0,0,,,,,,,False
863,Diseases of tongue (K14),,0,0,0,,,,,,,False
865,Oesophagitis (K20),,4,2,6,,,,,,52.0,False
866,Gastro-oesophageal reflux disease (K21),,30,49,79,0.2,0.2,0.2,72.0,26.0,98.0,False
867,Other diseases of oesophagus (K22),,79,80,159,0.6,0.4,0.5,364.0,60.0,420.0,False
868,Gastric ulcer (K25),x,25,38,63,0.2,0.2,0.2,163.0,176.0,338.0,False
869,Duodenal ulcer (K26),x,69,54,123,0.5,0.3,0.4,516.0,206.0,716.0,False
870,"Peptic ulcer, site unspecified (K27)",x,36,37,73,0.3,0.2,0.2,243.0,43.0,284.0,False
871,Gastrojejunal ulcer (K28),,0,1,1,,,,,,,False
872,Gastritis and duodenitis (K29),,9,3,12,,,,,,,False
873,Dyspepsia (K30),,0,0,0,,,,,,,False
874,Other diseases of stomach and duodenum (K31),,15,33,48,,0.2,0.2,97.0,66.0,162.0,False
876,Acute appendicitis (K35),,8,12,20,,,0.1,95.0,34.0,128.0,False
877,Other appendicitis (K36),,0,1,1,,,,,,,False
878,Unspecified appendicitis (K37),,2,1,3,,,,,,,False
879,Other diseases of appendix (K38),,0,0,0,,,,,,,False
881,Inguinal hernia (K40),,36,10,46,0.3,,0.1,94.0,,106.0,False
882,Femoral hernia (K41),,3,10,13,,,,,,,False
883,Umbilical hernia (K42),,12,9,21,,,0.1,62.0,,114.0,False
884,Ventral hernia (K43),,9,21,30,,0.1,0.1,,116.0,139.0,False
885,Diaphragmatic hernia (K44),,21,36,57,0.2,0.2,0.2,72.0,27.0,98.0,False
886,Other abdominal hernia (K45),,0,8,8,,,,,,,False
887,Unspecified abdominal hernia (K46),,19,19,38,,,0.1,77.0,,90.0,False
889,Crohn disease [regional enteritis] (K50),,8,20,28,,0.1,0.1,,95.0,133.0,False
890,Ulcerative colitis (K51),,10,12,22,,,0.1,,61.0,78.0,False
891,Other noninfective gastroenteritis and colitis (K52),,5,16,21,,,0.1,,,64.0,False
893,Vascular disorders of intestine (K55),,177,247,424,1.3,1.4,1.3,500.0,684.0,1186.0,False
894,Paralytic ileus and intestinal obstruction without hernia (K56),,332,401,733,2.4,2.1,2.2,753.0,538.0,1290.0,False
895,Diverticular disease of intestine (K57),,94,185,279,0.7,1.0,0.8,285.0,219.0,505.0,False
896,Irritable bowel syndrome (K58),,0,0,0,,,,,,,False
897,Other functional intestinal disorders (K59),,16,15,31,,,0.1,80.0,48.0,128.0,False
898,Fissure and fistula of anal and rectal regions (K60),,2,0,2,,,,,,,False
899,Abscess of anal and rectal regions (K61),,5,3,8,,,,,,,False
900,Other diseases of anus and rectum (K62),,22,33,55,0.2,0.2,0.2,,22.0,47.0,False
901,Other diseases of intestine (K63),,68,101,169,0.5,0.6,0.5,239.0,343.0,585.0,False
902,Haemorrhoids and perianal venous thrombosis (K64),,0,0,0,,,,,,,False
904,Peritonitis (K65),,26,29,55,0.2,0.2,0.2,151.0,162.0,312.0,False
905,Other disorders of peritoneum (K66),,10,14,24,,,0.1,122.0,49.0,173.0,False
907,Alcoholic liver disease (K70),,599,231,830,4.4,1.7,3.0,10947.0,5194.0,16032.0,False
908,Toxic liver disease (K71),,3,2,5,,,,,,,False
909,"Hepatic failure, not elsewhere classified (K72)",,107,81,188,0.8,0.5,0.6,1292.0,696.0,1978.0,False
910,"Chronic hepatitis, not elsewhere classified (K73)",,0,0,0,,,,,,,False
911,Fibrosis and cirrhosis of liver (K74),,369,210,579,2.7,1.4,2.0,4460.0,1900.0,6314.0,False
912,Other inflammatory liver diseases (K75),,55,77,132,0.4,0.5,0.4,429.0,471.0,902.0,False
913,Other diseases of liver (K76),,115,96,211,0.8,0.6,0.7,1259.0,774.0,2025.0,False
915,Cholelithiasis (K80),,38,57,95,0.3,0.3,0.3,124.0,45.0,167.0,False
916,Cholecystitis (K81),,82,115,197,0.6,0.6,0.6,176.0,276.0,451.0,False
917,Other diseases of gallbladder (K82),,12,11,23,,,0.1,53.0,,56.0,False
918,Other diseases of biliary tract (K83),,91,102,193,0.7,0.5,0.6,162.0,188.0,350.0,False
919,Acute pancreatitis (K85),,111,104,215,0.8,0.6,0.7,1009.0,440.0,1443.0,False
920,Other diseases of pancreas (K86),,31,20,51,0.2,0.1,0.2,510.0,140.0,644.0,False
922,Intestinal malabsorption (K90),,7,4,11,,,,,,,False
923,"Postprocedural disorders of digestive system, not elsewhere classified (K91)",,0,0,0,,,,,,,False
924,Other diseases of digestive system (K92),,246,275,521,1.8,1.4,1.6,559.0,304.0,860.0,False
927,Staphylococcal scalded skin syndrome (L00),,1,0,1,,,,,,,False
928,Impetigo (L01),,0,0,0,,,,,,,False
929,"Cutaneous abscess, furuncle and carbuncle (L02)",,6,14,20,,,0.1,,95.0,127.0,False
930,Cellulitis (L03),x,142,155,297,1.0,0.8,0.9,407.0,306.0,712.0,False
931,Acute lymphadenitis (L04),,0,0,0,,,,,,,False
932,Pilonidal cyst (L05),,0,1,1,,,,,,,False
933,Other local infections of skin and subcutaneous tissue (L08),,26,30,56,0.2,0.2,0.2,124.0,66.0,189.0,False
935,Pemphigus (L10),,0,1,1,,,,,,,False
936,Other acantholytic disorders (L11),,0,0,0,,,,,,,False
937,Pemphigoid (L12),,8,6,14,,,,,,,False
938,Other bullous disorders (L13),,0,1,1,,,,,,,False
940,Atopic dermatitis (L20),,0,0,0,,,,,,,False
941,Seborrhoeic dermatitis (L21),,0,0,0,,,,,,,False
942,Diaper [napkin] dermatitis (L22),,0,0,0,,,,,,,False
943,Allergic contact dermatitis (L23),,0,0,0,,,,,,,False
944,Irritant contact dermatitis (L24),,0,0,0,,,,,,,False
945,Unspecified contact dermatitis (L25),,0,0,0,,,,,,,False
946,Exfoliative dermatitis (L26),,0,1,1,,,,,,,False
947,Dermatitis due to substances taken internally (L27),,2,0,2,,,,,,,False
948,Lichen simplex chronicus and prurigo (L28),,0,0,0,,,,,,,False
949,Pruritus (L29),,0,0,0,,,,,,,False
950,Other dermatitis (L30),,0,0,0,,,,,,,False
952,Psoriasis (L40),,3,1,4,,,,,,,False
953,Parapsoriasis (L41),,0,0,0,,,,,,,False
954,Pityriasis rosea (L42),,0,0,0,,,,,,,False
955,Lichen planus (L43),,0,1,1,,,,,,,False
956,Other papulosquamous disorders (L44),,0,0,0,,,,,,,False
958,Urticaria (L50),,0,0,0,,,,,,,False
959,Erythema multiforme (L51),,2,2,4,,,,,,,False
960,Erythema nodosum (L52),,0,0,0,,,,,,,False
961,Other erythematous conditions (L53),,0,2,2,,,,,,,False
963,Sunburn (L55),,0,0,0,,,,,,,False
964,Other acute skin changes due to ultraviolet radiation (L56),,0,0,0,,,,,,,False
965,Skin changes due to chronic exposure to nonionizing radiation (L57),,0,0,0,,,,,,,False
966,Radiodermatitis (L58),,0,0,0,,,,,,,False
967,Other disorders of skin and subcutaneous tissue related to radiation (L59),,0,0,0,,,,,,,False
969,Nail disorders (L60),,0,0,0,,,,,,,False
970,Alopecia areata (L63),,0,0,0,,,,,,,False
971,Androgenic alopecia (L64),,0,0,0,,,,,,,False
972,Other nonscarring hair loss (L65),,0,0,0,,,,,,,False
973,Cicatricial alopecia [scarring hair loss] (L66),,0,0,0,,,,,,,False
974,Hair colour and hair shaft abnormalities (L67),,0,0,0,,,,,,,False
975,Hypertrichosis (L68),,0,0,0,,,,,,,False
976,Acne (L70),,0,0,0,,,,,,,False
977,Rosacea (L71),,0,0,0,,,,,,,False
978,Follicular cysts of skin and subcutaneous tissue (L72),,0,0,0,,,,,,,False
979,Other follicular disorders (L73),,1,0,1,,,,,,,False
980,Eccrine sweat disorders (L74),,0,0,0,,,,,,,False
981,Apocrine sweat disorders (L75),,0,0,0,,,,,,,False
983,Vitiligo (L80),,0,0,0,,,,,,,False
984,Other disorders of pigmentation (L81),,0,0,0,,,,,,,False
985,Seborrhoeic keratosis (L82),,0,0,0,,,,,,,False
986,Acanthosis nigricans (L83),,0,0,0,,,,,,,False
987,Corns and callosities (L84),,0,0,0,,,,,,,False
988,Other epidermal thickening (L85),,0,0,0,,,,,,,False
989,Transepidermal elimination disorders (L87),,0,0,0,,,,,,,False
990,Pyoderma gangrenosum (L88),,0,1,1,,,,,,,False
991,Decubitus ulcer (L89),,14,44,58,,0.2,0.2,,14.0,99.0,False
992,Atrophic disorders of skin (L90),,2,0,2,,,,,,,False
993,Hypertrophic disorders of skin (L91),,0,0,0,,,,,,,False
994,Granulomatous disorders of skin and subcutaneous tissue (L92),,1,1,2,,,,,,,False
995,Lupus erythematosus (L93),,0,0,0,,,,,,,False
996,Other localized connective tissue disorders (L94),,0,0,0,,,,,,,False
997,"Vasculitis limited to skin, not elsewhere classified (L95)",,0,0,0,,,,,,,False
998,"Ulcer of lower limb, not elsewhere classified (L97)",,34,51,85,0.3,0.2,0.3,104.0,65.0,169.0,False
999,"Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98)",,21,24,45,0.2,0.1,0.1,120.0,,132.0,False
1003,Pyogenic arthritis (M00),,67,51,118,0.5,0.3,0.4,177.0,64.0,239.0,False
1004,Reactive arthropathies (M02),,0,0,0,,,,,,,False
1006,Seropositive rheumatoid arthritis (M05),,2,6,8,,,,,,,False
1007,Other rheumatoid arthritis (M06),,60,138,198,0.4,0.8,0.6,203.0,301.0,505.0,False
1008,Juvenile arthritis (M08),,0,1,1,,,,,,,False
1009,Gout (M10),,18,6,24,,,0.1,,,,False
1010,Other crystal arthropathies (M11),,0,0,0,,,,,,,False
1011,Other specific arthropathies (M12),,0,0,0,,,,,,,False
1012,Other arthritis (M13),,7,10,17,,,,,30.0,31.0,False
1014,Polyarthrosis (M15),,0,0,0,,,,,,,False
1015,Coxarthrosis [arthrosis of hip] (M16),,1,3,4,,,,,,,False
1016,Gonarthrosis [arthrosis of knee] (M17),,0,1,1,,,,,,,False
1017,Arthrosis of first carpometacarpal joint (M18),,0,0,0,,,,,,,False
1018,Other arthrosis (M19),,16,51,67,,0.2,0.2,,,,False
1020,Acquired deformities of fingers and toes (M20),,0,0,0,,,,,,,False
1021,Other acquired deformities of limbs (M21),,0,0,0,,,,,,,False
1022,Disorders of patella (M22),,0,0,0,,,,,,,False
1023,Internal derangement of knee (M23),,0,0,0,,,,,,,False
1024,Other specific joint derangements (M24),,0,1,1,,,,,,,False
1025,"Other joint disorders, not elsewhere classified (M25)",,22,12,34,0.2,,0.1,45.0,,57.0,False
1027,Polyarteritis nodosa and related conditions (M30),,7,5,12,,,,51.0,,94.0,False
1028,Other necrotizing vasculopathies (M31),,14,24,38,,0.1,0.1,69.0,186.0,257.0,False
1029,Systemic lupus erythematosus (M32),,8,44,52,,0.3,0.2,,531.0,559.0,False
1030,Dermatopolymyositis (M33),,7,11,18,,,,77.0,133.0,210.0,False
1031,Systemic sclerosis (M34),,31,87,118,0.2,0.6,0.4,363.0,623.0,991.0,False
1032,Other systemic involvement of connective tissue (M35),,12,27,39,,0.2,0.1,114.0,129.0,243.0,False
1035,Kyphosis and lordosis (M40),,4,2,6,,,,,,,False
1036,Scoliosis (M41),,4,14,18,,,,,118.0,221.0,False
1037,Spinal osteochondrosis (M42),,0,0,0,,,,,,,False
1038,Other deforming dorsopathies (M43),,0,2,2,,,,,,,False
1040,Ankylosing spondylitis (M45),,1,2,3,,,,,,,False
1041,Other inflammatory spondylopathies (M46),,15,20,35,,0.1,0.1,58.0,99.0,157.0,False
1042,Spondylosis (M47),,6,9,15,,,,,,,False
1043,Other spondylopathies (M48),,5,5,10,,,,,,,False
1045,Cervical disc disorders (M50),,0,0,0,,,,,,,False
1046,Other intervertebral disc disorders (M51),,1,2,3,,,,,,,False
1047,"Other dorsopathies, not elsewhere classified (M53)",,0,0,0,,,,,,,False
1048,Dorsalgia (M54),,3,6,9,,,,,,,False
1051,Myositis (M60),,6,6,12,,,,,,177.0,False
1052,Calcification and ossification of muscle (M61),,0,0,0,,,,,,,False
1053,Other disorders of muscle (M62),,23,31,54,0.2,0.2,0.2,72.0,93.0,162.0,False
1055,Synovitis and tenosynovitis (M65),,0,0,0,,,,,,,False
1056,Spontaneous rupture of synovium and tendon (M66),,0,0,0,,,,,,,False
1057,Other disorders of synovium and tendon (M67),,0,0,0,,,,,,,False
1059,"Soft tissue disorders related to use, overuse and pressure (M70)",,1,0,1,,,,,,,False
1060,Other bursopathies (M71),,1,0,1,,,,,,,False
1061,Fibroblastic disorders (M72),,24,19,43,0.2,,0.1,289.0,199.0,489.0,False
1062,Shoulder lesions (M75),,0,0,0,,,,,,,False
1063,"Enthesopathies of lower limb, excluding foot (M76)",,0,0,0,,,,,,,False
1064,Other enthesopathies (M77),,0,0,0,,,,,,,False
1065,"Other soft tissue disorders, not elsewhere classified (M79)",,6,8,14,,,,,75.0,125.0,False
1068,Osteoporosis with pathological fracture (M80),,18,64,82,,0.3,0.2,,,19.0,False
1069,Osteoporosis without pathological fracture (M81),,14,89,103,,0.4,0.3,,,,False
1070,Adult osteomalacia (M83),,0,0,0,,,,,,,False
1071,Disorders of continuity of bone (M84),,7,15,22,,,0.1,,,81.0,False
1072,Other disorders of bone density and structure (M85),,0,1,1,,,,,,,False
1074,Osteomyelitis (M86),,89,58,147,0.7,0.3,0.5,298.0,303.0,593.0,False
1075,Osteonecrosis (M87),,1,2,3,,,,,,,False
1076,Paget disease of bone [osteitis deformans] (M88),,0,5,5,,,,,,,False
1077,Other disorders of bone (M89),,3,0,3,,,,,,,False
1079,Juvenile osteochondrosis of hip and pelvis (M91),,0,0,0,,,,,,,False
1080,Other juvenile osteochondrosis (M92),,0,0,0,,,,,,,False
1081,Other osteochondropathies (M93),,0,0,0,,,,,,,False
1082,Other disorders of cartilage (M94),,1,1,2,,,,,,,False
1084,Other acquired deformities of musculoskeletal system and connective tissue (M95),,0,0,0,,,,,,,False
1085,"Postprocedural musculoskeletal disorders, not elsewhere classified (M96)",,0,0,0,,,,,,,False
1086,"Biomechanical lesions, not elsewhere classified (M99)",,0,0,0,,,,,,,False
1089,Acute nephritic syndrome (N00),,10,8,18,,,,,,,False
1090,Rapidly progressive nephritic syndrome (N01),,0,0,0,,,,,,,False
1091,Recurrent and persistent haematuria (N02),,11,3,14,,,,78.0,,136.0,False
1092,Chronic nephritic syndrome (N03),,7,6,13,,,,,,,False
1093,Nephrotic syndrome (N04),,6,2,8,,,,,,,False
1094,Unspecified nephritic syndrome (N05),,13,12,25,,,0.1,33.0,,72.0,False
1095,Isolated proteinuria with specified morphological lesion (N06),,0,0,0,,,,,,,False
1096,"Hereditary nephropathy, not elsewhere classified (N07)",,0,0,0,,,,,,,False
1098,Acute tubulo-interstitial nephritis (N10),,3,4,7,,,,,,103.0,False
1099,Chronic tubulo-interstitial nephritis (N11),,3,0,3,,,,,,,False
1100,"Tubulo-interstitial nephritis, not specified as acute or chronic (N12)",,13,22,35,,0.1,0.1,94.0,93.0,188.0,False
1101,Obstructive and reflux uropathy (N13),,35,37,72,0.3,0.2,0.2,126.0,194.0,319.0,False
1102,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions (N14),,2,11,13,,,,,,35.0,False
1103,Other renal tubulo-interstitial diseases (N15),,1,3,4,,,,,,,False
1105,Acute renal failure (N17),x,137,191,328,1.0,1.0,1.0,227.0,379.0,607.0,False
1106,Chronic kidney disease (N18),x,686,669,1355,5.0,3.5,4.2,1791.0,1121.0,2902.0,False
1107,Unspecified kidney failure (N19),x,190,249,439,1.4,1.2,1.3,369.0,205.0,573.0,False
1109,Calculus of kidney and ureter (N20),,21,35,56,0.2,0.2,0.2,44.0,43.0,86.0,False
1110,Calculus of lower urinary tract (N21),,0,0,0,,,,,,,False
1111,Unspecified renal colic (N23),,0,0,0,,,,,,,False
1113,Disorders resulting from impaired renal tubular function (N25),,0,3,3,,,,,,,False
1114,Unspecified contracted kidney (N26),,10,5,15,,,,95.0,,130.0,False
1115,Small kidney of unknown cause (N27),,0,0,0,,,,,,,False
1116,"Other disorders of kidney and ureter, not elsewhere classified (N28)",,22,18,40,0.2,,0.1,138.0,128.0,266.0,False
1118,Cystitis (N30),,4,2,6,,,,,,,False
1119,"Neuromuscular dysfunction of bladder, not elsewhere classified (N31)",,5,4,9,,,,,,94.0,False
1120,Other disorders of bladder (N32),,10,7,17,,,,,,23.0,False
1121,Urethritis and urethral syndrome (N34),,0,0,0,,,,,,,False
1122,Urethral stricture (N35),,4,0,4,,,,,,,False
1123,Other disorders of urethra (N36),,1,1,2,,,,,,,False
1124,Other disorders of urinary system (N39),,331,567,898,2.4,2.8,2.7,550.0,457.0,1008.0,False
1126,Hyperplasia of prostate (N40),,64,0,64,0.5,,0.2,21.0,,20.0,False
1127,Inflammatory diseases of prostate (N41),,8,0,8,,,,,,,False
1128,Other disorders of prostate (N42),,4,0,4,,,,,,,False
1129,Hydrocele and spermatocele (N43),,0,0,0,,,,,,,False
1130,Torsion of testis (N44),,1,0,1,,,,,,,False
1131,Orchitis and epididymitis (N45),,4,0,4,,,,,,,False
1132,Male infertility (N46),,0,0,0,,,,,,,False
1133,"Redundant prepuce, phimosis and paraphimosis (N47)",,0,0,0,,,,,,,False
1134,Other disorders of penis (N48),,0,0,0,,,,,,,False
1135,"Inflammatory disorders of male genital organs, not elsewhere classified (N49)",,11,0,11,,,,69.0,,68.0,False
1136,Other disorders of male genital organs (N50),,2,0,2,,,,,,,False
1138,Benign mammary dysplasia (N60),,0,0,0,,,,,,,False
1139,Inflammatory disorders of breast (N61),,0,1,1,,,,,,,False
1140,Hypertrophy of breast (N62),,0,0,0,,,,,,,False
1141,Unspecified lump in breast (N63),,0,0,0,,,,,,,False
1142,Other disorders of breast (N64),,0,0,0,,,,,,,False
1144,Salpingitis and oophoritis (N70),,0,1,1,,,,,,,False
1145,"Inflammatory disease of uterus, except cervix (N71)",,0,0,0,,,,,,,False
1146,Inflammatory disease of cervix uteri (N72),,0,0,0,,,,,,,False
1147,Other female pelvic inflammatory diseases (N73),,0,4,4,,,,,,,False
1148,Diseases of Bartholin gland (N75),,0,0,0,,,,,,,False
1149,Other inflammation of vagina and vulva (N76),,0,2,2,,,,,,,False
1151,Endometriosis (N80),,0,0,0,,,,,,,False
1152,Female genital prolapse (N81),,0,3,3,,,,,,,False
1153,Fistulae involving female genital tract (N82),,0,2,2,,,,,,,False
1154,"Noninflammatory disorders of ovary, fallopian tube and broad ligament (N83)",,0,4,4,,,,,,,False
1155,Polyp of female genital tract (N84),,0,0,0,,,,,,,False
1156,"Other noninflammatory disorders of uterus, except cervix (N85)",,0,4,4,,,,,,,False
1157,Erosion and ectropion of cervix uteri (N86),,0,0,0,,,,,,,False
1158,Dysplasia of cervix uteri (N87),,0,0,0,,,,,,,False
1159,Other noninflammatory disorders of cervix uteri (N88),,0,0,0,,,,,,,False
1160,Other noninflammatory disorders of vagina (N89),,0,0,0,,,,,,,False
1161,Other noninflammatory disorders of vulva and perineum (N90),,0,0,0,,,,,,,False
1162,"Absent, scanty and rare menstruation (N91)",,0,0,0,,,,,,,False
1163,"Excessive, frequent and irregular menstruation (N92)",,0,0,0,,,,,,,False
1164,Other abnormal uterine and vaginal bleeding (N93),,0,1,1,,,,,,,False
1165,Pain and other conditions associated with female genital organs and menstrual cycle (N94),,0,0,0,,,,,,,False
1166,Menopausal and other perimenopausal disorders (N95),,0,0,0,,,,,,,False
1167,Habitual aborter (N96),,0,0,0,,,,,,,False
1168,Female infertility (N97),,0,0,0,,,,,,,False
1169,Complications associated with artificial fertilization (N98),,0,0,0,,,,,,,False
1171,"Postprocedural disorders of genitourinary system, not elsewhere classified (N99)",,0,0,0,,,,,,,False
1174,Ectopic pregnancy (O00),x,0,0,0,,,,,,,False
1175,Hydatidiform mole (O01),x,0,1,1,,,,,,,False
1176,Other abnormal products of conception (O02),x,0,0,0,,,,,,,False
1177,Spontaneous abortion (O03),x,0,0,0,,,,,,,False
1178,Medical abortion (O04),x,0,0,0,,,,,,,False
1179,Other abortion (O05),x,0,0,0,,,,,,,False
1180,Unspecified abortion (O06),x,0,0,0,,,,,,,False
1181,Failed attempted abortion (O07),x,0,0,0,,,,,,,False
1182,Complications following abortion and ectopic and molar pregnancy (O08),x,0,0,0,,,,,,,False
1184,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium (O10)",x,0,0,0,,,,,,,False
1185,Pre-existing hypertensive disorder with superimposed proteinuria (O11),x,0,0,0,,,,,,,False
1186,Gestational [pregnancy-induced] oedema and proteinuria without hypertension (O12),x,0,0,0,,,,,,,False
1187,Gestational [pregnancy-induced] hypertension without significant proteinuria (O13),x,0,0,0,,,,,,,False
1188,Gestational [pregnancy-induced] hypertension with significant proteinuria (O14),x,0,0,0,,,,,,,False
1189,Eclampsia (O15),x,0,0,0,,,,,,,False
1190,Unspecified maternal hypertension (O16),x,0,0,0,,,,,,,False
1192,Haemorrhage in early pregnancy (O20),x,0,0,0,,,,,,,False
1193,Excessive vomiting in pregnancy (O21),x,0,0,0,,,,,,,False
1194,Venous complications in pregnancy (O22),x,0,0,0,,,,,,,False
1195,Infections of genitourinary tract in pregnancy (O23),x,0,0,0,,,,,,,False
1196,Diabetes mellitus in pregnancy (O24),x,0,0,0,,,,,,,False
1197,Malnutrition in pregnancy (O25),x,0,0,0,,,,,,,False
1198,Maternal care for other conditions predominantly related to pregnancy (O26),x,0,1,1,,,,,,,False
1199,Abnormal findings on antenatal screening of mother (O28),x,0,0,0,,,,,,,False
1200,Complications of anaesthesia during pregnancy (O29),x,0,0,0,,,,,,,False
1202,Multiple gestation (O30),x,0,0,0,,,,,,,False
1203,Complications specific to multiple gestation (O31),x,0,0,0,,,,,,,False
1204,Maternal care for known or suspected malpresentation of fetus (O32),x,0,0,0,,,,,,,False
1205,Maternal care for known or suspected disproportion (O33),x,0,0,0,,,,,,,False
1206,Maternal care for known or suspected abnormality of pelvic organs (O34),x,0,0,0,,,,,,,False
1207,Maternal care for known or suspected fetal abnormality and damage (O35),x,0,0,0,,,,,,,False
1208,Maternal care for other known or suspected fetal problems (O36),x,0,0,0,,,,,,,False
1209,Polyhydramnios (O40),x,0,0,0,,,,,,,False
1210,Other disorders of amniotic fluid and membranes (O41),x,0,0,0,,,,,,,False
1211,Premature rupture of membranes (O42),x,0,1,1,,,,,,,False
1212,Placental disorders (O43),x,0,0,0,,,,,,,False
1213,Placenta praevia (O44),x,0,0,0,,,,,,,False
1214,Premature separation of placenta [abruptio placentae] (O45),x,0,1,1,,,,,,,False
1215,"Antepartum haemorrhage, not elsewhere classified (O46)",x,0,0,0,,,,,,,False
1216,False labour (O47),x,0,0,0,,,,,,,False
1217,Prolonged pregnancy (O48),x,0,0,0,,,,,,,False
1219,Preterm labour and delivery (O60),x,0,0,0,,,,,,,False
1220,Failed induction of labour (O61),x,0,0,0,,,,,,,False
1221,Abnormalities of forces of labour (O62),x,0,0,0,,,,,,,False
1222,Long labour (O63),x,0,0,0,,,,,,,False
1223,Obstructed labour due to malposition and malpresentation of fetus (O64),x,0,0,0,,,,,,,False
1224,Obstructed labour due to maternal pelvic abnormality (O65),x,0,0,0,,,,,,,False
1225,Other obstructed labour (O66),x,0,0,0,,,,,,,False
1226,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified (O67)",x,0,1,1,,,,,,,False
1227,Labour and delivery complicated by fetal stress [distress] (O68),x,0,0,0,,,,,,,False
1228,Labour and delivery complicated by umbilical cord complications (O69),x,0,0,0,,,,,,,False
1229,Perineal laceration during delivery (O70),x,0,0,0,,,,,,,False
1230,Other obstetric trauma (O71),x,0,0,0,,,,,,,False
1231,Postpartum haemorrhage (O72),x,0,1,1,,,,,,,False
1232,"Retained placenta and membranes, without haemorrhage (O73)",x,0,0,0,,,,,,,False
1233,Complications of anaesthesia during labour and delivery (O74),x,0,0,0,,,,,,,False
1234,"Other complications of labour and delivery, not elsewhere classified (O75)",x,0,0,0,,,,,,,False
1236,Single spontaneous delivery (O80),x,0,0,0,,,,,,,False
