cause,avoidable,men,women,people,Males,Females,Persons,Males,Females,Persons
Disorders of vestibular function (H81),,0,1,1,—,np,np,—,—,—
Other diseases of inner ear (H83),,0,0,0,—,—,—,—,—,—
Other disorders of ear (H90-H95),,2,1,3,np,np,np,—,—,—
Conductive and sensorineural hearing loss (H90),,0,0,0,—,—,—,—,—,—
Other hearing loss (H91),,2,1,3,np,np,np,—,—,—
Otalgia and effusion of ear (H92),,0,0,0,—,—,—,—,—,—
"Other disorders of ear, not elsewhere classified (H93)",,0,0,0,—,—,—,—,—,—
"Postprocedural disorders of ear and mastoid process, not elsewhere classified (H95)",,0,0,0,—,—,—,—,—,—
CHAPTER IX Diseases of the circulatory system (I00-I99),,"20,907","20,942","41,849",151.9,108.9,129.3,"101,011","42,527","142,541"
Acute rheumatic fever (I00-I02),x,2,7,9,np,np,np,np,np,np
Rheumatic fever without mention of heart involvement (I00),x,2,6,8,np,np,np,np,np,np
Rheumatic fever with heart involvement (I01),x,0,1,1,—,np,np,—,—,—
Rheumatic chorea (I02),x,0,0,0,—,—,—,—,—,—
Chronic rheumatic heart diseases (I05-I09),x,129,243,372,1.0,1.4,1.2,1032,"1,139","2,177"
Rheumatic mitral valve diseases (I05),x,45,90,135,0.3,0.5,0.4,323,496,820
Rheumatic aortic valve diseases (I06),x,5,5,10,np,np,np,np,np,np
Rheumatic tricuspid valve diseases (I07),x,12,40,52,np,0.2,0.2,np,np,57
Multiple valve diseases (I08),x,47,65,112,0.3,0.4,0.4,254,87,339
Other rheumatic heart diseases (I09),x,20,43,63,0.2,0.3,0.2,420,475,900
Hypertensive diseases (I10-I15),,800,"1,336","2,136",5.8,6.7,6.4,"2,936","1,304","4,212"
Essential (primary) hypertension (I10),x,201,391,592,1.5,2.0,1.8,604,284,883
Hypertensive heart disease (I11),x,342,570,912,2.5,2.9,2.8,"1,847",771,"2,598"
Hypertensive renal disease (I12),x,155,200,355,1.1,1.0,1.1,392,126,513
Hypertensive heart and renal disease (I13),x,102,175,277,0.7,0.9,0.8,93,123,217
Secondary hypertension (I15),,0,0,0,—,—,—,—,—,—
Ischaemic heart diseases (I20-I25),,"10,269","7,264","17,533",74.4,37.6,54.6,"55,172","14,095","68,532"
Angina pectoris (I20),x,5,14,19,np,np,np,np,np,np
Acute myocardial infarction (I21),x,"4,016","3,306","7,322",29.2,17.1,22.7,"18,708","5,558","24,032"
Subsequent myocardial infarction (I22),x,0,0,0,—,—,—,—,—,—
Certain current complications following acute myocardial infarction (I23),x,0,0,0,—,—,—,—,—,—
Other acute ischaemic heart diseases (I24),x,167,176,343,1.2,0.9,1.1,469,142,604
Chronic ischaemic heart disease (I25),x,"6,081","3,768","9,849",44.0,19.6,30.8,"35,948","8,385","43,838"
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),,315,431,746,2.3,2.5,2.4,"2,241","2,486","4,720"
Pulmonary embolism (I26),x,164,150,314,1.2,0.9,1.0,"1,366","1,212","2,570"
Other pulmonary heart diseases (I27),,151,279,430,1.1,1.6,1.4,876,"1,273","2,149"
Other diseases of pulmonary vessels (I28),,0,2,2,—,np,np,—,—,—
Other forms of heart disease (I30-I52),,"4,037","4,803","8,840",29.4,24.5,26.9,"17,124","8,534","25,536"
Acute pericarditis (I30),,5,5,10,np,np,np,np,np,np
Other diseases of pericardium (I31),,42,43,85,0.3,0.3,0.3,345,212,554
Acute and subacute endocarditis (I33),x,122,68,190,0.9,0.4,0.7,1549,680,"2,215"
Nonrheumatic mitral valve disorders (I34),x,63,136,199,0.5,0.7,0.6,200,325,526
Nonrheumatic aortic valve disorders (I35),x,538,541,"1,079",3.9,2.7,3.2,"1,225",427,"1,636"
Nonrheumatic tricuspid valve disorders (I36),x,0,4,4,—,np,np,—,np,np
Pulmonary valve disorders (I37),x,0,1,1,—,np,np,—,—,—
"Endocarditis, valve unspecified (I38)",,123,141,264,0.9,0.7,0.8,609,255,858
Acute myocarditis (I40),,11,5,16,np,np,np,305,np,510
Cardiomyopathy (I42),,670,372,"1,042",4.9,2.2,3.5,"7,160","2,443","9,550"
Atrioventricular and left bundle-branch block (I44),,34,29,63,0.2,0.1,0.2,34,np,39
Other conduction disorders (I45),,34,30,64,0.3,0.2,0.2,166,187,356
Cardiac arrest (I46),,81,108,189,0.6,0.5,0.6,592,144,738
Paroxysmal tachycardia (I47),,10,17,27,np,np,0.1,70,73,141
Atrial fibrillation and flutter (I48),,838,"1,397","2,235",6.1,6.9,6.6,875,520,"1,388"
Other cardiac arrhythmias (I49),,69,111,180,0.5,0.6,0.6,646,695,"1,341"
Heart failure (I50),x,"1,169","1,567","2,736",8.5,7.7,8.1,"1,409",877,"2,278"
Complications and ill-defined descriptions of heart disease (I51),x,228,228,456,1.7,1.3,1.5,"1,918","1,446","3,343"
Cerebrovascular diseases (I60-I69),x,"4,164","5,808","9,972",30.4,30.4,30.7,"15,402","11,306","26,642"
Subarachnoid haemorrhage (I60),x,203,346,549,1.5,2.2,1.9,"3,228","3,650","6,900"
Intracerebral haemorrhage (I61),x,608,740,"1,348",4.4,4.2,4.3,"3,630","1,901","5,503"
Other nontraumatic intracranial haemorrhage (I62),x,462,485,947,3.4,2.7,3.0,"2,054",1628,"3,671"
Cerebral infarction (I63),x,590,778,"1,368",4.3,4.1,4.2,"2,264","1,260","3,507"
"Stroke, not specified as haemorrhage or infarction (I64)",x,"1,617","2,591","4,208",11.8,12.7,12.5,"2,758","1,465","4,203"
"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction (I65)",x,0,0,0,—,—,—,—,—,—
"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction (I66)",x,0,0,0,—,—,—,—,—,—
Other cerebrovascular diseases (I67),x,259,402,661,1.9,2.0,2.0,712,761,1468
Sequelae of cerebrovascular disease (I69),x,425,466,891,3.1,2.4,2.7,755,641,"1,389"
"Diseases of arteries, arterioles and capillaries (I70-I79)",,"1,065",872,"1,937",7.7,4.7,6.1,"5,206","2,209","7,364"
Atherosclerosis (I70),,33,59,92,0.2,0.3,0.3,72,np,89
Aortic aneurysm and dissection (I71),,595,393,988,4.3,2.2,3.2,"3,391","1,049","4,401"
Other aneurysm and dissection (I72),,42,26,68,0.3,0.2,0.2,348,362,711
Other peripheral vascular diseases (I73),,321,329,650,2.3,1.7,2.0,765,323,"1,077"
Arterial embolism and thrombosis (I74),,22,25,47,0.2,0.1,0.2,237,155,391
Other disorders of arteries and arterioles (I77),,49,37,86,0.4,0.2,0.3,349,303,652
Diseases of capillaries (I78),,3,3,6,np,np,np,np,—,np
"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",,115,166,281,0.9,1.0,1.0,"1,800","1,449","3,252"
Phlebitis and thrombophlebitis (I80),,81,108,189,0.6,0.7,0.7,"1,421","1,181","2,600"
Portal vein thrombosis (I81),,11,8,19,np,np,np,65,np,111
Other venous embolism and thrombosis (I82),,9,11,20,np,np,0.1,np,np,124
Varicose veins of lower extremities (I83),,2,17,19,np,np,np,—,23,24
Haemorrhoids (I84),,0,0,0,—,—,—,—,—,—
Oesophageal varices (I85),,5,5,10,np,np,np,137,np,164
Varicose veins of other sites (I86),,1,2,3,np,np,np,np,np,np
Other disorders of veins (I87),,4,2,6,np,np,np,np,—,np
Nonspecific lymphadenitis (I88),,0,1,1,—,np,np,—,np,np
Other noninfective disorders of lymphatic vessels and lymph nodes (I89),,2,12,14,np,np,np,—,80,81
Other and unspecified disorders of the circulatory system (I95-I99),,11,12,23,np,np,0.1,np,np,np
Hypotension (I95),,2,1,3,np,np,np,—,—,—
"Postprocedural disorders of circulatory system, not elsewhere classified (I97)",,0,0,0,—,—,—,—,—,—
Other and unspecified disorders of circulatory system (I99),,9,11,20,np,np,0.1,np,np,np
CHAPTER X Diseases of the respiratory system (J00-J99),,"7,460","7,067","14,527",54.1,38.6,45.4,"26,264","19,402","45,555"
Acute upper respiratory infections (J00-J06),,9,6,15,np,np,np,np,np,77
Acute nasopharyngitis [common cold] (J00),,0,0,0,—,—,—,—,—,—
Acute sinusitis (J01),,0,0,0,—,—,—,—,—,—
Acute pharyngitis (J02),x,0,1,1,—,np,np,—,np,np
Acute tonsillitis (J03),,0,0,0,—,—,—,—,—,—
Acute laryngitis and tracheitis (J04),,1,1,2,np,np,np,—,—,—
Acute obstructive laryngitis [croup] and epiglottitis (J05),,3,0,3,np,—,np,np,—,np
Acute upper respiratory infections of multiple and unspecified sites (J06),,5,4,9,np,np,np,np,np,np
Influenza and pneumonia (J09-J18),,"1,426","1,676","3,102",10.4,8.4,9.3,"4,349","3,286","7,617"
Influenza due to certain identified influenza virus (J09),,4,3,7,np,np,np,np,np,186
Influenza due to other identified influenza virus (J10),x,46,60,106,0.3,0.3,0.3,367,525,881
"Influenza, virus not identified (J11)",x,12,16,28,np,np,0.1,44,np,69
"Viral pneumonia, not elsewhere classified (J12)",x,21,28,49,0.2,0.2,0.2,123,282,402
Pneumonia due to Streptococcus pneumoniae (J13),x,7,2,9,np,np,np,np,np,144
Pneumonia due to Haemophilus influenzae (J14),x,2,0,2,np,—,np,np,—,np
"Bacterial pneumonia, not elsewhere classified (J15)",x,30,24,54,0.2,0.1,0.2,333,230,560
"Pneumonia due to other infectious organisms, not elsewhere classified (J16)",x,0,0,0,—,—,—,—,—,—
"Pneumonia, organism unspecified (J18)",x,"1,304","1,543","2,847",9.5,7.6,8.4,"3,249","2,124","5,368"
Other acute lower respiratory infections (J20-J22),,145,223,368,1.1,1.1,1.1,366,255,623
Acute bronchitis (J20),,2,10,12,np,np,np,np,np,np
Acute bronchiolitis (J21),,1,2,3,np,np,np,np,np,np
Unspecified acute lower respiratory infection (J22),,142,211,353,1.0,1.0,1.0,328,210,539
Other diseases of upper respiratory tract (J30-J39),,23,14,37,0.2,np,0.1,247,np,338
Vasomotor and allergic rhinitis (J30),,0,0,0,—,—,—,—,—,—
"Chronic rhinitis, nasopharyngitis and pharyngitis (J31)",,0,0,0,—,—,—,—,—,—
Chronic sinusitis (J32),,5,2,7,np,np,np,np,np,np
Nasal polyp (J33),,1,0,1,np,—,np,np,—,np
Other disorders of nose and nasal sinuses (J34),,0,0,0,—,—,—,—,—,—
Chronic diseases of tonsils and adenoids (J35),,2,0,2,np,—,np,np,—,np
Peritonsillar abscess (J36),,0,0,0,—,—,—,—,—,—
Chronic laryngitis and laryngotracheitis (J37),,0,0,0,—,—,—,—,—,—
"Diseases of vocal cords and larynx, not elsewhere classified (J38)",,5,6,11,np,np,np,np,np,np
Other diseases of upper respiratory tract (J39),,10,6,16,np,np,np,101,np,112
Chronic lower respiratory diseases (J40-J47),,"4,050","3,839","7,889",29.3,22.0,25.1,"16,055","12,719","28,716"
"Bronchitis, not specified as acute or chronic (J40)",x,7,15,22,np,np,0.1,—,—,—
Simple and mucopurulent chronic bronchitis (J41),x,0,0,0,—,—,—,—,—,—
Unspecified chronic bronchitis (J42),x,9,10,19,np,np,np,np,105,145
Emphysema (J43),x,396,233,629,2.8,1.4,2.0,"2,067",968,"3,015"
Other chronic obstructive pulmonary disease (J44),x,"3,371","3,072","6,443",24.3,17.6,20.5,"11,243","9,469","20,672"
Asthma (J45),x,134,246,380,1.0,1.4,1.2,"2,012","1,409","3,426"
Status asthmaticus (J46),x,5,4,9,np,np,np,216,np,449
Bronchiectasis (J47),,128,259,387,0.9,1.4,1.2,477,530,"1,009"
Lung diseases due to external agents (J60-J70),,647,478,1125,4.7,2.4,3.4,"1,085",519,"1,594"
Coalworker's pneumoconiosis (J60),,3,0,3,np,—,np,np,—,np
Pneumoconiosis due to asbestos and other mineral fibres (J61),,127,5,132,0.9,np,0.4,169,—,166
Pneumoconiosis due to dust containing silica (J62),,1,0,1,np,—,np,—,—,—
Pneumoconiosis due to other inorganic dusts (J63),,0,0,0,—,—,—,—,—,—
Unspecified pneumoconiosis (J64),,2,0,2,np,—,np,np,—,np
Pneumoconiosis associated with tuberculosis (J65),,0,0,0,—,—,—,—,—,—
Airway disease due to specific organic dust (J66),,0,0,0,—,—,—,—,—,—
Hypersensitivity pneumonitis due to organic dust (J67),,8,10,18,np,np,np,np,33,71
"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours (J68)",,1,1,2,np,np,np,np,—,np
Pneumonitis due to solids and liquids (J69),,498,454,952,3.6,2.3,2.8,838,451,"1,283"
Respiratory conditions due to other external agents (J70),,7,8,15,np,np,np,np,np,53
Other respiratory diseases principally affecting the interstitium (J80-J84),,850,515,"1,365",6.2,2.9,4.4,"2,478","1,473","3,928"
Adult respiratory distress syndrome (J80),,9,8,17,np,np,np,162,115,277
Pulmonary oedema (J81),,17,28,45,np,0.1,0.1,np,np,28
"Pulmonary eosinophilia, not elsewhere classified (J82)",,3,3,6,np,np,np,np,np,105
Other interstitial pulmonary diseases (J84),,821,476,"1,297",6.0,2.7,4.2,"2,248","1,293","3,518"
Suppurative and necrotic conditions of lower respiratory tract (J85-J86),,30,13,43,0.2,np,0.1,283,130,413
Abscess of lung and mediastinum (J85),,9,4,13,np,np,np,100,np,136
Pyothorax (J86),,21,9,30,0.2,np,0.1,183,95,277
Other diseases of pleura (J90-J94),,52,39,91,0.4,0.2,0.3,319,116,437
"Pleural effusion, not elsewhere classified (J90)",,30,31,61,0.2,0.2,0.2,35,98,134
Pleural plaque (J92),,1,0,1,np,—,np,—,—,—
Pneumothorax (J93),,9,5,14,np,np,np,146,np,165
Other pleural conditions (J94),,12,3,15,np,np,np,138,—,138
Other diseases of the respiratory system (J95-J99),,228,264,492,1.7,1.4,1.5,"1,032",788,"1,813"
"Postprocedural respiratory disorders, not elsewhere classified (J95)",,0,0,0,—,—,—,—,—,—
"Respiratory failure, not elsewhere classified (J96)",,27,43,70,0.2,0.2,0.2,82,110,193
Other respiratory disorders (J98),,201,221,422,1.5,1.2,1.3,951,678,"1,621"
CHAPTER XI Diseases of the digestive system (K00-K93),,"3,035","2,901","5,936",22.2,16.3,19.1,"25,264","13,635","38,698"
"Diseases of oral cavity, salivary glands and jaws (K00-K14)",,17,16,33,np,np,0.1,np,48,70
Disorders of tooth development and eruption (K00),,0,0,0,—,—,—,—,—,—
Embedded and impacted teeth (K01),,0,0,0,—,—,—,—,—,—
Dental caries (K02),,1,0,1,np,—,np,—,—,—
Other diseases of hard tissues of teeth (K03),,1,0,1,np,—,np,—,—,—
Diseases of pulp and periapical tissues (K04),,2,3,5,np,np,np,np,np,np
Gingivitis and periodontal diseases (K05),,0,0,0,—,—,—,—,—,—
Other disorders of gingiva and edentulous alveolar ridge (K06),,0,0,0,—,—,—,—,—,—
Dentofacial anomalies [including malocclusion] (K07),,0,0,0,—,—,—,—,—,—
Other disorders of teeth and supporting structures (K08),,1,0,1,np,—,np,—,—,—
"Cysts of oral region, not elsewhere classified (K09)",,1,0,1,np,—,np,np,—,np
Other diseases of jaws (K10),,0,0,0,—,—,—,—,—,—
Diseases of salivary glands (K11),,8,8,16,np,np,np,—,np,np
Stomatitis and related lesions (K12),,3,5,8,np,np,np,—,np,np
Other diseases of lip and oral mucosa (K13),,0,0,0,—,—,—,—,—,—
Diseases of tongue (K14),,0,0,0,—,—,—,—,—,—
"Diseases of oesophagus, stomach and duodenum (K20-K31)",,267,297,564,2.0,1.5,1.7,"1,561",585,"2,130"
Oesophagitis (K20),,4,2,6,np,np,np,np,np,52
Gastro-oesophageal reflux disease (K21),,30,49,79,0.2,0.2,0.2,72,26,98
Other diseases of oesophagus (K22),,79,80,159,0.6,0.4,0.5,364,60,420
Gastric ulcer (K25),x,25,38,63,0.2,0.2,0.2,163,176,338
Duodenal ulcer (K26),x,69,54,123,0.5,0.3,0.4,516,206,716
"Peptic ulcer, site unspecified (K27)",x,36,37,73,0.3,0.2,0.2,243,43,284
Gastrojejunal ulcer (K28),,0,1,1,—,np,np,—,—,—
Gastritis and duodenitis (K29),,9,3,12,np,np,np,np,—,np
Dyspepsia (K30),,0,0,0,—,—,—,—,—,—
Other diseases of stomach and duodenum (K31),,15,33,48,np,0.2,0.2,97,66,162
Diseases of appendix (K35-K38),,10,14,24,np,np,0.1,107,51,157
Acute appendicitis (K35),,8,12,20,np,np,0.1,95,34,128
Other appendicitis (K36),,0,1,1,—,np,np,—,np,np
Unspecified appendicitis (K37),,2,1,3,np,np,np,np,np,np
Other diseases of appendix (K38),,0,0,0,—,—,—,—,—,—
Hernia (K40-K46),,100,113,213,0.7,0.6,0.7,327,226,551
Inguinal hernia (K40),,36,10,46,0.3,np,0.1,94,np,106
Femoral hernia (K41),,3,10,13,np,np,np,—,—,—
Umbilical hernia (K42),,12,9,21,np,np,0.1,62,np,114
Ventral hernia (K43),,9,21,30,np,0.1,0.1,np,116,139
Diaphragmatic hernia (K44),,21,36,57,0.2,0.2,0.2,72,27,98
Other abdominal hernia (K45),,0,8,8,—,np,np,—,np,np
Unspecified abdominal hernia (K46),,19,19,38,np,np,0.1,77,np,90
Noninfective enteritis and colitis (K50-K52),,23,48,71,0.2,0.3,0.2,66,207,275
Crohn disease [regional enteritis] (K50),,8,20,28,np,0.1,0.1,np,95,133
Ulcerative colitis (K51),,10,12,22,np,np,0.1,np,61,78
Other noninfective gastroenteritis and colitis (K52),,5,16,21,np,np,0.1,np,np,64
Other diseases of intestines (K55-K64),,716,985,"1,701",5.2,5.3,5.2,"1,914","1,855","3,772"
Vascular disorders of intestine (K55),,177,247,424,1.3,1.4,1.3,500,684,"1,186"
Paralytic ileus and intestinal obstruction without hernia (K56),,332,401,733,2.4,2.1,2.2,753,538,"1,290"
Diverticular disease of intestine (K57),,94,185,279,0.7,1.0,0.8,285,219,505
Irritable bowel syndrome (K58),,0,0,0,—,—,—,—,—,—
Other functional intestinal disorders (K59),,16,15,31,np,np,0.1,80,48,128
Fissure and fistula of anal and rectal regions (K60),,2,0,2,np,—,np,—,—,—
Abscess of anal and rectal regions (K61),,5,3,8,np,np,np,np,—,np
Other diseases of anus and rectum (K62),,22,33,55,0.2,0.2,0.2,np,22,47
Other diseases of intestine (K63),,68,101,169,0.5,0.6,0.5,239,343,585
Haemorrhoids and perianal venous thrombosis (K64),,0,0,0,—,—,—,—,—,—
Diseases of peritoneum (K65-K67),,36,43,79,0.3,0.2,0.2,273,211,485
Peritonitis (K65),,26,29,55,0.2,0.2,0.2,151,162,312
Other disorders of peritoneum (K66),,10,14,24,np,np,0.1,122,49,173
Diseases of liver (K70-K77),,"1,248",697,"1,945",9.1,4.6,6.8,"18,400","9,044","27,273"
Alcoholic liver disease (K70),,599,231,830,4.4,1.7,3.0,"10,947","5,194","16,032"
Toxic liver disease (K71),,3,2,5,np,np,np,np,np,np
"Hepatic failure, not elsewhere classified (K72)",,107,81,188,0.8,0.5,0.6,"1,292",696,"1,978"
"Chronic hepatitis, not elsewhere classified (K73)",,0,0,0,—,—,—,—,—,—
Fibrosis and cirrhosis of liver (K74),,369,210,579,2.7,1.4,2.0,"4,460","1,900","6,314"
Other inflammatory liver diseases (K75),,55,77,132,0.4,0.5,0.4,429,471,902
Other diseases of liver (K76),,115,96,211,0.8,0.6,0.7,"1,259",774,"2,025"
"Disorders of gallbladder, biliary tract and pancreas (K80-K87)",,365,409,774,2.7,2.2,2.4,"2,034",1093,"3,112"
Cholelithiasis (K80),,38,57,95,0.3,0.3,0.3,124,45,167
Cholecystitis (K81),,82,115,197,0.6,0.6,0.6,176,276,451
Other diseases of gallbladder (K82),,12,11,23,np,np,0.1,53,np,56
Other diseases of biliary tract (K83),,91,102,193,0.7,0.5,0.6,162,188,350
Acute pancreatitis (K85),,111,104,215,0.8,0.6,0.7,1009,440,"1,443"
Other diseases of pancreas (K86),,31,20,51,0.2,0.1,0.2,510,140,644
Other diseases of the digestive system (K90-K93),,253,279,532,1.8,1.4,1.6,561,314,872
Intestinal malabsorption (K90),,7,4,11,np,np,np,np,np,np
"Postprocedural disorders of digestive system, not elsewhere classified (K91)",,0,0,0,—,—,—,—,—,—
Other diseases of digestive system (K92),,246,275,521,1.8,1.4,1.6,559,304,860
CHAPTER XII Diseases of the skin and subcutaneous tissue (L00-L99),,263,336,599,1.9,1.7,1.8,1006,577,"1,577"
Infections of the skin and subcutaneous tissue (L00-L08),,175,200,375,1.3,1.0,1.1,562,467,"1,028"
Staphylococcal scalded skin syndrome (L00),,1,0,1,np,—,np,—,—,—
Impetigo (L01),,0,0,0,—,—,—,—,—,—
"Cutaneous abscess, furuncle and carbuncle (L02)",,6,14,20,np,np,0.1,np,95,127
Cellulitis (L03),x,142,155,297,1.0,0.8,0.9,407,306,712
Acute lymphadenitis (L04),,0,0,0,—,—,—,—,—,—
Pilonidal cyst (L05),,0,1,1,—,np,np,—,—,—
Other local infections of skin and subcutaneous tissue (L08),,26,30,56,0.2,0.2,0.2,124,66,189
Bullous disorders (L10-L14),,8,8,16,np,np,np,np,—,np
Pemphigus (L10),,0,1,1,—,np,np,—,—,—
Other acantholytic disorders (L11),,0,0,0,—,—,—,—,—,—
Pemphigoid (L12),,8,6,14,np,np,np,np,—,np
Other bullous disorders (L13),,0,1,1,—,np,np,—,—,—
Dermatitis and eczema (L20-L30),,2,1,3,np,np,np,np,np,np
Atopic dermatitis (L20),,0,0,0,—,—,—,—,—,—
Seborrhoeic dermatitis (L21),,0,0,0,—,—,—,—,—,—
Diaper [napkin] dermatitis (L22),,0,0,0,—,—,—,—,—,—
Allergic contact dermatitis (L23),,0,0,0,—,—,—,—,—,—
Irritant contact dermatitis (L24),,0,0,0,—,—,—,—,—,—
Unspecified contact dermatitis (L25),,0,0,0,—,—,—,—,—,—
Exfoliative dermatitis (L26),,0,1,1,—,np,np,—,np,np
Dermatitis due to substances taken internally (L27),,2,0,2,np,—,np,np,—,np
Lichen simplex chronicus and prurigo (L28),,0,0,0,—,—,—,—,—,—
Pruritus (L29),,0,0,0,—,—,—,—,—,—
Other dermatitis (L30),,0,0,0,—,—,—,—,—,—
Papulosquamous disorders (L40-L45),,3,2,5,np,np,np,np,np,np
Psoriasis (L40),,3,1,4,np,np,np,np,—,np
Parapsoriasis (L41),,0,0,0,—,—,—,—,—,—
Pityriasis rosea (L42),,0,0,0,—,—,—,—,—,—
Lichen planus (L43),,0,1,1,—,np,np,—,np,np
Other papulosquamous disorders (L44),,0,0,0,—,—,—,—,—,—
Urticaria and erythema (L50-L54),,2,4,6,np,np,np,np,np,np
Urticaria (L50),,0,0,0,—,—,—,—,—,—
Erythema multiforme (L51),,2,2,4,np,np,np,np,—,np
Erythema nodosum (L52),,0,0,0,—,—,—,—,—,—
Other erythematous conditions (L53),,0,2,2,—,np,np,—,np,np
Radiation-related disorders of the skin and subcutaneous tissue (L55-L59),,0,0,0,—,—,—,—,—,—
Sunburn (L55),,0,0,0,—,—,—,—,—,—
Other acute skin changes due to ultraviolet radiation (L56),,0,0,0,—,—,—,—,—,—
Skin changes due to chronic exposure to nonionizing radiation (L57),,0,0,0,—,—,—,—,—,—
Radiodermatitis (L58),,0,0,0,—,—,—,—,—,—
Other disorders of skin and subcutaneous tissue related to radiation (L59),,0,0,0,—,—,—,—,—,—
Disorders of skin appendages (L60-L75),,1,0,1,np,—,np,np,—,np
Nail disorders (L60),,0,0,0,—,—,—,—,—,—
Alopecia areata (L63),,0,0,0,—,—,—,—,—,—
Androgenic alopecia (L64),,0,0,0,—,—,—,—,—,—
Other nonscarring hair loss (L65),,0,0,0,—,—,—,—,—,—
Cicatricial alopecia [scarring hair loss] (L66),,0,0,0,—,—,—,—,—,—
Hair colour and hair shaft abnormalities (L67),,0,0,0,—,—,—,—,—,—
Hypertrichosis (L68),,0,0,0,—,—,—,—,—,—
Acne (L70),,0,0,0,—,—,—,—,—,—
Rosacea (L71),,0,0,0,—,—,—,—,—,—
Follicular cysts of skin and subcutaneous tissue (L72),,0,0,0,—,—,—,—,—,—
Other follicular disorders (L73),,1,0,1,np,—,np,np,—,np
Eccrine sweat disorders (L74),,0,0,0,—,—,—,—,—,—
Apocrine sweat disorders (L75),,0,0,0,—,—,—,—,—,—
Other disorders of the skin and subcutaneous tissue (L80-L99),,72,121,193,0.5,0.6,0.6,326,94,417
Vitiligo (L80),,0,0,0,—,—,—,—,—,—
Other disorders of pigmentation (L81),,0,0,0,—,—,—,—,—,—
Seborrhoeic keratosis (L82),,0,0,0,—,—,—,—,—,—
Acanthosis nigricans (L83),,0,0,0,—,—,—,—,—,—
Corns and callosities (L84),,0,0,0,—,—,—,—,—,—
Other epidermal thickening (L85),,0,0,0,—,—,—,—,—,—
Transepidermal elimination disorders (L87),,0,0,0,—,—,—,—,—,—
Pyoderma gangrenosum (L88),,0,1,1,—,np,np,—,np,np
Decubitus ulcer (L89),,14,44,58,np,0.2,0.2,np,14,99
Atrophic disorders of skin (L90),,2,0,2,np,—,np,np,—,np
Hypertrophic disorders of skin (L91),,0,0,0,—,—,—,—,—,—
Granulomatous disorders of skin and subcutaneous tissue (L92),,1,1,2,np,np,np,np,—,np
Lupus erythematosus (L93),,0,0,0,—,—,—,—,—,—
Other localized connective tissue disorders (L94),,0,0,0,—,—,—,—,—,—
"Vasculitis limited to skin, not elsewhere classified (L95)",,0,0,0,—,—,—,—,—,—
"Ulcer of lower limb, not elsewhere classified (L97)",,34,51,85,0.3,0.2,0.3,104,65,169
"Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98)",,21,24,45,0.2,0.1,0.1,120,np,132
CHAPTER XIII Diseases of the musculoskeletal system and connective tissue (M00-M99),,505,839,"1,344",3.7,4.6,4.2,"2,236","3,302","5,535"
Arthropathies (M00-M25),,193,280,473,1.4,1.5,1.5,450,489,937
Infectious arthropathies (M00-M03),,67,51,118,0.5,0.3,0.4,177,64,239
Pyogenic arthritis (M00),,67,51,118,0.5,0.3,0.4,177,64,239
Reactive arthropathies (M02),,0,0,0,—,—,—,—,—,—
Inflammatory polyarthropathies (M05-M14),,87,161,248,0.6,0.9,0.8,224,405,629
Seropositive rheumatoid arthritis (M05),,2,6,8,np,np,np,np,np,np
Other rheumatoid arthritis (M06),,60,138,198,0.4,0.8,0.6,203,301,505
Juvenile arthritis (M08),,0,1,1,—,np,np,—,np,np
Gout (M10),,18,6,24,np,np,0.1,np,—,np
Other crystal arthropathies (M11),,0,0,0,—,—,—,—,—,—
Other specific arthropathies (M12),,0,0,0,—,—,—,—,—,—
Other arthritis (M13),,7,10,17,np,np,np,—,30,31
Arthrosis (M15-M19),,17,55,72,np,0.3,0.2,np,np,np
Polyarthrosis (M15),,0,0,0,—,—,—,—,—,—
Coxarthrosis [arthrosis of hip] (M16),,1,3,4,np,np,np,—,—,—
Gonarthrosis [arthrosis of knee] (M17),,0,1,1,—,np,np,—,—,—
Arthrosis of first carpometacarpal joint (M18),,0,0,0,—,—,—,—,—,—
Other arthrosis (M19),,16,51,67,np,0.2,0.2,np,np,np
Other joint disorders (M20-M25),,22,13,35,0.2,np,0.1,45,np,57
Acquired deformities of fingers and toes (M20),,0,0,0,—,—,—,—,—,—
Other acquired deformities of limbs (M21),,0,0,0,—,—,—,—,—,—
Disorders of patella (M22),,0,0,0,—,—,—,—,—,—
Internal derangement of knee (M23),,0,0,0,—,—,—,—,—,—
Other specific joint derangements (M24),,0,1,1,—,np,np,—,—,—
"Other joint disorders, not elsewhere classified (M25)",,22,12,34,0.2,np,0.1,45,np,57
Systemic connective tissue disorders (M30-M36),,79,198,277,0.6,1.3,0.9,698,"1,645","2,355"
Polyarteritis nodosa and related conditions (M30),,7,5,12,np,np,np,51,np,94
Other necrotizing vasculopathies (M31),,14,24,38,np,0.1,0.1,69,186,257
Systemic lupus erythematosus (M32),,8,44,52,np,0.3,0.2,np,531,559
Dermatopolymyositis (M33),,7,11,18,np,np,np,77,133,210
Systemic sclerosis (M34),,31,87,118,0.2,0.6,0.4,363,623,991
